ProductName,EngineVersion,AppVersion,IsBeta,IsSxsPassiveMode,AVProductsInstalled,AVProductsEnabled,HasTpm,CountryIdentifier,CityIdentifier,OrganizationIdentifier,LocaleEnglishNameIdentifier,Platform,Processor,OsBuild,OsSuite,OsPlatformSubRelease,IsProtected,SMode,IeVerIdentifier,SmartScreen,Firewall,UacLuaenable,Census_MDC2FormFactor,Census_DeviceFamily,Census_OEMNameIdentifier,Census_OEMModelIdentifier,Census_ProcessorCoreCount,Census_ProcessorManufacturerIdentifier,Census_PrimaryDiskTypeName,Census_HasOpticalDiskDrive,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_PowerPlatformRoleName,Census_InternalBatteryNumberOfCharges,Census_OSBuildRevision,Census_OSEdition,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightsDisabled,Census_FlightRing,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,Census_TotalPhysicalRAMGB,Census_SystemVolumeTotalCapacityGB,Census_PrimaryDiskTotalCapacityGB
4,62,59,0,0,1,1,1,114,20609,15,71,0,1,9,0,4,1,0,97,11,1,1,2,1,1295,120991,7,3,0,1,24,159,845,1,40983,38,10,7,7,1,0,1,0,0,4,291,32336,0,0,0,0,0,1,0,8,979,690
4,62,53,0,0,1,1,1,100,4732,23,123,0,1,7,3,3,1,0,95,11,1,1,8,1,2001,163949,7,3,0,0,30,132,1150,3,0,34,1,7,18,2,0,1,2,0,4,83,7898,1,0,0,0,0,0,8,12,449,403
4,63,39,0,0,1,1,1,152,61965,2162374,72,0,1,7,0,3,1,0,89,11,1,1,8,1,1668,52651,3,3,0,1,37,100,530,3,0,64,10,7,7,2,0,1,2,0,4,405,11100,0,0,1,0,0,0,10,6,92,403
4,62,53,0,0,2,1,1,140,58432,23,223,0,1,5,3,1,1,0,77,11,1,1,8,1,1668,81447,3,3,0,0,37,114,616,3,0,195,3,5,8,4,0,1,0,0,4,405,8287,1,0,0,0,0,0,9,8,1720,690
4,63,59,0,0,1,1,1,43,16251,1316704,214,0,1,9,3,4,1,0,97,12,1,1,1,1,277,140916,3,3,0,0,37,115,1150,3,177,61,1,5,9,1,0,1,0,0,4,83,39040,1,0,1,0,0,1,9,8,472,572
4,62,59,0,0,2,1,1,18,9438,23,53,0,1,9,3,4,1,0,97,11,1,1,2,1,323,92168,3,0,0,1,24,229,1539,1,40983,32,1,7,23,2,0,1,2,0,4,83,37065,1,0,0,0,0,1,14,8,452,572
4,62,94,0,0,1,1,1,183,59562,230640,72,0,1,4,0,6,1,0,61,11,1,1,8,1,1295,120496,3,3,0,0,37,114,616,3,139955,79,10,2,7,4,0,1,3,0,4,291,33896,0,0,0,0,0,1,10,8,444,498
4,62,26,0,0,2,1,1,177,86720,481570,68,0,1,9,3,4,1,0,97,12,1,1,8,1,1668,81740,7,3,0,0,37,98,616,3,0,38,1,7,7,2,0,1,0,0,4,405,8249,1,0,0,0,0,1,0,8,900,572
4,63,59,0,0,1,1,1,158,29026,15,72,0,1,9,0,4,1,0,97,12,1,1,1,1,1323,166083,3,3,0,0,37,75,616,3,0,51,12,7,7,1,0,1,2,0,4,408,4645,0,0,1,0,0,0,10,8,926,572
4,64,20,0,0,2,1,1,170,61139,44,179,0,1,7,3,3,1,0,89,11,1,1,8,1,1295,118006,3,3,0,0,37,114,1150,3,0,74,3,7,28,2,0,1,0,0,4,343,22571,1,0,0,0,0,1,2,4,445,403
4,62,59,0,0,1,1,1,157,74735,2595614,67,0,1,9,3,4,1,0,97,11,1,1,0,1,1668,103233,3,3,0,0,18,174,1150,1,40983,38,3,7,7,1,0,1,0,0,4,405,34884,1,0,0,0,0,0,0,4,95,572
4,62,53,0,0,1,1,1,200,41997,2003881,247,0,2,7,0,3,1,0,89,12,1,1,9,1,1290,89282,3,3,1,0,37,92,1150,5,14562,89,10,3,34,4,0,1,0,0,4,658,27695,0,0,0,0,1,0,10,2,23,24
4,63,59,0,0,1,1,1,140,82048,23,72,0,1,9,3,4,1,0,97,12,1,1,8,1,351,90821,7,3,0,0,37,131,1150,3,0,51,1,3,7,1,0,1,0,0,4,78,4669,1,0,0,0,0,1,9,8,925,572
4,63,59,0,0,1,1,1,65,8028,1959803,85,0,1,6,3,2,1,0,82,11,1,1,3,1,277,154123,3,3,1,0,37,62,530,5,52,151,1,7,13,4,0,1,0,0,4,83,42164,1,0,1,0,1,0,4,4,110,111
4,62,53,0,0,1,1,1,42,93529,23,40,0,1,9,3,4,1,0,97,11,1,1,8,1,1668,35703,3,3,1,0,37,92,1150,3,0,38,2,7,36,2,0,1,0,0,4,405,40362,1,0,0,0,0,0,6,4,75,218
4,62,13,0,0,1,1,1,170,61139,23,179,2,1,2,3,8,1,0,227,11,1,1,8,1,1668,17519,3,3,0,0,37,114,616,3,0,123,3,6,28,2,0,1,2,0,4,405,8740,1,0,0,0,0,0,2,6,413,403
4,59,46,0,0,1,1,1,65,28247,23,85,0,1,9,0,4,1,0,97,11,1,1,2,1,1894,127877,1,0,0,0,24,144,610,1,40983,22,10,7,13,2,0,1,0,0,6,83,46522,0,0,0,0,0,0,4,8,926,572
4,62,27,0,0,2,1,1,207,55447,23,229,0,2,9,0,4,1,0,97,11,1,1,2,1,916,112121,1,3,2,0,24,109,277,1,40983,38,10,7,8,1,0,1,2,0,4,83,7898,0,0,0,0,0,1,9,4,460,403
4,62,59,0,0,1,1,1,210,15821,23,211,0,2,9,0,4,1,0,97,11,1,1,8,1,1668,1362,1,3,0,0,37,113,530,3,0,51,10,7,8,1,0,1,2,0,4,405,10008,0,0,0,0,0,0,9,1,69,70
4,62,59,0,0,2,1,1,103,70623,15,72,0,1,9,3,4,0,0,97,12,1,1,8,1,277,98402,1,3,0,0,37,98,616,3,33,38,3,7,7,1,0,1,0,0,4,83,21656,1,0,0,0,0,0,0,4,95,403
4,55,25,0,0,1,1,1,154,52241,15,210,0,1,7,3,3,0,0,85,11,1,1,0,1,1362,16632,1,0,0,1,24,159,845,1,40983,64,3,7,8,1,0,1,2,0,4,53,12395,1,0,0,0,0,0,9,4,904,572
