ProductName,EngineVersion,AppVersion,IsBeta,IsSxsPassiveMode,AVProductsInstalled,AVProductsEnabled,HasTpm,CountryIdentifier,CityIdentifier,OrganizationIdentifier,LocaleEnglishNameIdentifier,Platform,Processor,OsBuild,OsSuite,OsPlatformSubRelease,IsProtected,SMode,IeVerIdentifier,SmartScreen,Firewall,UacLuaenable,Census_MDC2FormFactor,Census_DeviceFamily,Census_OEMNameIdentifier,Census_OEMModelIdentifier,Census_ProcessorCoreCount,Census_ProcessorManufacturerIdentifier,Census_PrimaryDiskTypeName,Census_HasOpticalDiskDrive,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_PowerPlatformRoleName,Census_InternalBatteryNumberOfCharges,Census_OSBuildRevision,Census_OSEdition,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightsDisabled,Census_FlightRing,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections,Census_TotalPhysicalRAMGB,Census_SystemVolumeTotalCapacityGB,Census_PrimaryDiskTotalCapacityGB
4,62,59,0,0,1,1,1,28,81302,15,168,0,1,9,0,4,1,0,97,12,1,1,2,1,1668,4451,3,3,0,0,24,148,689,1,40983,38,10,7,25,4,0,1,2,0,4,405,24663,0,0,0,0,0,0,9,0,4,287,403
4,52,26,0,0,1,1,1,92,966,15,61,0,1,9,0,4,1,0,97,12,1,1,8,1,1668,42463,3,3,0,0,37,98,616,3,1,1,10,2,7,4,0,2,2,0,2,405,40539,0,0,0,0,0,0,7,0,4,95,403
4,62,59,0,0,1,1,1,85,97844,15,47,0,1,9,3,4,1,0,97,11,1,1,2,1,3054,156123,3,3,1,0,24,174,1150,1,40983,38,1,7,6,1,0,1,1,0,4,83,36952,0,0,0,0,0,0,2,0,4,106,107
4,62,59,0,0,1,1,1,87,13332,178971,112,0,1,9,0,4,1,0,97,7,1,1,2,1,870,133450,3,3,2,0,35,144,616,1,40983,51,10,7,16,1,0,1,1,0,4,217,14095,0,0,0,0,0,0,2,1,4,217,227
4,62,59,0,0,1,1,1,17,24235,179005,72,0,1,9,3,4,1,0,97,11,1,1,8,1,870,165973,3,3,0,0,37,99,616,3,0,42,1,6,7,1,0,1,2,0,4,217,13969,0,0,0,0,0,0,0,1,6,95,403
4,62,59,0,0,1,1,1,96,8927,23,121,0,1,9,0,4,1,0,97,11,1,1,2,1,2366,171045,1,3,1,0,24,174,1150,1,40983,38,10,7,17,1,0,1,2,0,4,53,35556,0,0,0,0,0,0,14,1,8,106,107
4,62,59,0,0,2,1,1,77,51564,179353,85,0,1,9,3,4,1,0,97,12,1,1,8,1,2366,100854,1,0,0,0,37,131,845,3,0,38,1,2,13,1,0,1,2,0,4,345,43874,1,0,0,0,0,0,9,1,4,443,403
4,62,59,0,0,1,1,1,96,95805,23,121,0,1,5,3,1,1,0,75,11,1,1,8,1,3531,170017,1,3,0,1,37,114,616,3,0,0,1,7,17,1,0,1,2,0,4,306,43836,0,0,0,0,0,0,14,0,4,279,285
4,63,59,0,0,1,1,1,163,98778,23,169,0,1,9,0,4,1,0,97,11,1,1,8,1,1362,117316,3,3,0,0,37,115,1150,3,0,57,10,6,26,1,0,1,2,0,4,300,10790,0,0,0,0,0,0,14,0,4,292,285
4,62,59,0,0,2,1,1,92,62482,23,61,0,1,7,3,3,1,0,804,11,1,1,8,1,323,91610,3,3,0,1,37,114,616,3,0,78,3,7,7,4,0,1,0,0,4,345,44118,1,0,0,0,0,1,7,1,8,193,572
